Points,Area_wide,Area_tight
100,0.777771,1.025
600,0.988417,0.958333
1100,0.892669,0.931818
1600,0.874992,0.926563
2100,0.874992,0.930357
2600,0.912385,0.95625
3100,0.922035,0.935887
3600,0.920902,0.956597
4100,0.953244,0.938415
4600,0.902468,0.951087
5100,0.863554,0.943873
5600,0.958325,0.952902
6100,0.93715,0.940779
6600,0.8691,0.953977
7100,0.963998,0.951937
7600,0.927441,0.952138
8100,0.894196,0.946296
8600,0.968822,0.951163
9100,0.900633,0.944918
9600,0.970188,0.956641
10100,0.917346,0.949257
10600,0.974048,0.935495
11100,0.938931,0.955968
11600,0.954613,0.943642
12100,0.965786,0.942872
12600,0.924375,0.945734
13100,0.976666,0.945897
13600,0.93647,0.948805
14100,0.951528,0.946809
14600,0.996186,0.937757
15100,0.941953,0.94346
15600,0.932328,0.945192
16100,0.951079,0.935171
16600,0.928288,0.947666
17100,0.951746,0.942251
17600,0.925812,0.937429
18100,0.95986,0.943992
18600,0.941897,0.941062
19100,0.932002,0.945812
19600,0.926083,0.949936
20100,0.938355,0.944652
20600,0.920299,0.947937
21100,0.922451,0.940047
21600,0.947458,0.947859
22100,0.922503,0.938179
22600,0.935218,0.945575
23100,0.928022,0.945725
23600,0.896002,0.938559
24100,0.9351,0.947718
24600,0.930321,0.947104
25100,0.960594,0.948606
25600,0.948668,0.94165
26100,0.958431,0.943056
26600,0.933106,0.945818
27100,0.903334,0.943681
27600,0.916558,0.948596
28100,0.956298,0.943327
28600,0.893009,0.94375
29100,0.977559,0.944244
29600,0.958419,0.946833
30100,0.900509,0.948837
30600,0.96999,0.94616
31100,0.944391,0.946664
31600,0.941447,0.947033
32100,0.935869,0.944393
32600,0.963267,0.944095
33100,0.928449,0.942221
33600,0.96064,0.946391
34100,0.946269,0.942669
34600,0.924727,0.9431
35100,0.930943,0.952244
35600,0.942993,0.945435
36100,0.934241,0.942729
36600,0.947244,0.947712
37100,0.952822,0.946226
37600,0.942478,0.945811
38100,0.945165,0.951247
38600,0.926625,0.94592
39100,0.928949,0.945524
39600,0.937597,0.945455
40100,0.951121,0.942924
40600,0.954733,0.946613
41100,0.952817,0.937409
41600,0.922668,0.939994
42100,0.926259,0.942429
42600,0.947109,0.944073
43100,0.962288,0.941589
43600,0.944563,0.947076
44100,0.942011,0.949291
44600,0.933848,0.945123
45100,0.923926,0.945732
45600,0.934263,0.946765
46100,0.941634,0.944333
46600,0.968041,0.942918
47100,0.958177,0.946417
47600,0.943415,0.946534
48100,0.945735,0.942282
48600,0.948008,0.943441
49100,0.943305,0.943101
49600,0.943204,0.942213
50100,0.951256,0.946532
50600,0.946083,0.941947
51100,0.937206,0.947309
51600,0.946589,0.941231
52100,0.929108,0.947481
52600,0.950403,0.944772
53100,0.962144,0.942914
53600,0.93376,0.939459
54100,0.944898,0.945587
54600,0.9496,0.94185
55100,0.94857,0.946302
55600,0.945635,0.94357
56100,0.950724,0.943316
56600,0.946964,0.945473
57100,0.938501,0.944921
57600,0.95736,0.943077
58100,0.930213,0.94531
58600,0.957946,0.949061
59100,0.941945,0.947272
59600,0.941057,0.944652
60100,0.960728,0.94428
60600,0.956973,0.940965
61100,0.949301,0.942103
61600,0.942226,0.945191
62100,0.954992,0.94535
62600,0.947365,0.940116
63100,0.930151,0.943106
63600,0.932928,0.946973
64100,0.974792,0.945242
64600,0.935643,0.945878
65100,0.953247,0.94376
65600,0.961543,0.942626
66100,0.946768,0.945329
66600,0.949733,0.946828
67100,0.926138,0.943666
67600,0.922165,0.945174
68100,0.946802,0.944493
68600,0.939192,0.94406
69100,0.942245,0.942836
69600,0.935895,0.944468
70100,0.941425,0.945774
70600,0.943157,0.943839
71100,0.951976,0.94775
71600,0.93691,0.946683
72100,0.930817,0.945354
72600,0.943288,0.942734
73100,0.931782,0.948239
73600,0.947644,0.943003
74100,0.938626,0.943691
74600,0.932726,0.947084
75100,0.950077,0.944208
75600,0.939035,0.945172
76100,0.927116,0.944087
76600,0.941245,0.946345
77100,0.943337,0.941067
77600,0.947407,0.94338
78100,0.945823,0.942814
78600,0.952052,0.943496
79100,0.9598,0.946128
79600,0.933862,0.944347
80100,0.93568,0.945365
80600,0.958101,0.946588
81100,0.95615,0.943958
81600,0.949815,0.94421
82100,0.937162,0.945889
82600,0.962327,0.943008
83100,0.94472,0.943366
83600,0.948722,0.945933
84100,0.930597,0.94407
84600,0.930268,0.944681
85100,0.935084,0.947356
85600,0.942002,0.945196
86100,0.934725,0.942697
86600,0.940443,0.946016
87100,0.941741,0.943886
87600,0.942914,0.944478
88100,0.941204,0.942352
88600,0.943245,0.948533
89100,0.933587,0.942677
89600,0.944219,0.946722
90100,0.933152,0.94316
90600,0.932295,0.943916
91100,0.950976,0.943825
91600,0.936021,0.945333
92100,0.953635,0.943336
92600,0.949536,0.94618
93100,0.94287,0.947476
93600,0.971902,0.944671
94100,0.942148,0.945444
94600,0.948782,0.944094
95100,0.916907,0.942758
95600,0.937942,0.941906
96100,0.945404,0.943561
96600,0.944134,0.944073
97100,0.941675,0.943061
97600,0.92958,0.940433
98100,0.947438,0.943884
98600,0.940464,0.944625
99100,0.936111,0.941789
99600,0.955034,0.944704
